Product Name,Price,Rating,Seller Name
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Green)",999,3.9 out of 5 stars,1K+ bought in past month
"Portronics Luxcell B 10K 10000 mAh 22.5W Fast Charging Power Bank, Ultra Slim Power Bank with Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Dark Blue)",789,3.9 out of 5 stars,1K+ bought in past month
URBN 20000 mAh Premium Nano Power Bank | 22.5W Super Fast Charging | Smallest Power Bank | Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Camo),"1,799",4.1 out of 5 stars,900+ bought in past month
"ZEBRONICS MB10000S15 Power Bank, 10000 mAh, Rapid Charge, 22.5W Output, Dual USB Output, PD 3.0 Type C, Built in Protections, Percentage Indicator, Made in India",769,3.9 out of 5 stars,1K+ bought in past month
LAPCARE Smart Tank 10000Mah Fast Charging Power Bank | Dual USB Port | Led Indicator | Light Weight | Multi Protocol Support | Multi Circuit Protection | Compact & Slim Design | Made in India,499,3.8 out of 5 stars,500+ bought in past month
"Stuffcool Click 10000mAh Slim Magnetic Wireless Powerbank Natural Titanium Finish Perfect for iPhone 16,15,14,13,12 with Led Display and 20W Fast Wired Charging - Charges iPhone 50% in 30 mins","1,999",3.7 out of 5 stars,700+ bought in past month
"pTron Dynamo Ultra 20000mAh Power Bank, 22.5W Superfast Charging, Compact Size, Type-C/PD 20W Fast Charging, Supports VOOC/Wrap/Dash/Quick Charge Protocols, 3 Output Ports, Type-C Input/Output (Blue)","1,899",4.6 out of 5 stars,700+ bought in past month
"pTron Dynamo Power 20000mAh 22.5W Super Fast Charging Power Bank with Quick Charge & 20W Power Delivery, Built-in Charging Cables, 4 Outputs, Type-C Input/Output Port & LED Battery Display (Black)","1,499",4.6 out of 5 stars,100+ bought in past month
"Ambrane 100W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, 25,000mAh Battery, Triple Output, Power Delivery & Quick Charge (Powerlit Ultra, Black)","3,999",3.8 out of 5 stars,600+ bought in past month
"FLiX (Beetel) UltraCharge P115 10000mAh 22.5W QC Power Delivery PPS Power Bank, Tripple Output, Dual Input Type C & B, Percentage LED Indicator, Compatible to iPhone, Samsung, Google (XPB-P115)(Blue)",650,3.5 out of 5 stars,200+ bought in past month
"Lifelong ZenCharge 20000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Blue, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds, Speaker, Tablet)","1,999",3.9 out of 5 stars,800+ bought in past month
"boAt EnergyShroom PB300 Air 10000 mAh 22.5W Pocket Size Power Bank with Compact and Lightweight Design, LED Battery Display, 12 Layer Smart IC Protection & Smart Power Management(Carbon Black)","1,149",4.0 out of 5 stars,500+ bought in past month
Amazon Basics 10000mAh Li-Polymer Wireless Power Bank | Two-Way Fast Charging | 22.5W Fast Charging Through Wire |15W Wireless Charging| for iPhone 12 and Above and Samsung S Series Phones (Black),"1,599",3.2 out of 5 stars,2K+ bought in past month
"Xiaomi Pocket Power Bank 10000mAh 22.5W Fast Charging|Inbuilt Cable|Slim & Compact|Power Delivery|QC 3.0|Type-C Input & Output|3 Output Ports|Blue|Supports Android,Apple,Tablets,Earbuds,Watches","1,699",4.2 out of 5 stars,900+ bought in past month
"pTron Dynamo Quanta 10000mAh 22.5W Nano Power Bank, 15W Magnetic Wireless Charging, Compact Size Fast Charging, 20W PD Fast Charging, Built-in Cables, 3 Output Ports & BIS Certified (Black)","1,899",4.6 out of 5 stars,600+ bought in past month
"Ambrane 20000mAh Powerbank, 22.5W Fast Charging, Triple Output (2 USB & 1 Type C), Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 20, Green)","1,699",3.7 out of 5 stars,1K+ bought in past month
"pTron Dynamo Nitro 10000mAh 12W Power Bank, Dual USB Charging Ports, 2 Input Ports Type-C & Micro USB, Made in India, Multiple Layers of Protection & BIS Certified (Green)",699,3.8 out of 5 stars,800+ bought in past month
"Duracell Power Bank 10000 mAh, Portable Charger, USB C/Micro USB Input, USB A/USB C Output, Fast Charge Technology, 22.5W Power Delivery for Smartphones, Tablets, Headphones and USB-Powered Devices","1,990",4.0 out of 5 stars,600+ bought in past month
"Lifelong ZenCharge 20000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Purple, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds,Speaker, Tablet)","1,899",3.9 out of 5 stars,600+ bought in past month
"FLiX(Beetel) PowerXtreme 10,000mAh 12W Slim Power Bank,USB C/Micro USB Input,Dual USB A Output,Compatible with iPhone (Type A to Lightning), Samsung, Google Pixel, Oneplus(Blue-P10)",490,3.5 out of 5 stars,600+ bought in past month
"Anker Power Bank, PowerCore Essential with Digital Display, Patented PowerIQ Technology for Fast Charging iPhone 15, 14, 13, Samsung, Pixel, LG, Other Phones & Tablets","1,419",4.3 out of 5 stars,500+ bought in past month
"pTron Dynamo Nitro 10000mAh 12W Power Bank, Dual USB Charging Ports, 2 Input Ports Type-C & Micro USB, Made in India, Multiple Layers of Protection & BIS Certified (Black)",699,3.8 out of 5 stars,900+ bought in past month
LAPCARE Bolt Pro 20000Mah Transparent Power Bank | 22watt Type-C PD Fast Charging | Dual USB QC Port | Led Display | Multi Circuit Protection | Made in India,"1,249",4.0 out of 5 stars,500+ bought in past month
"boAt Pocket Energyshroom PB300 Pro 10000mAh | Compact Power Bank, Type-C Input (2-Way Port), 2X Output Ports, 2-Way 22.5W Fast Charging, Pass-Through Charging(Steel Blue)","1,399",4.0 out of 5 stars,700+ bought in past month
"Redmi 20000mAh Li-Polymer Power Bank, USB Type C and Micro USB Ports, 18W Fast Charging, Low Power Mode, Black","2,049",4.2 out of 5 stars,400+ bought in past month
"Portronics Power Pebble 5000mAh 20W Fast Charging Powerbank, in-Built Foldable Type C Input/Output Pin, Type C PD Output, LED Battery Indicator, Compatible with Type C Smartphone,iPhone(Black)",949,3.4 out of 5 stars,400+ bought in past month
